# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1024 -m 64 -n 384 -k 384	32,128,8,16,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA true -transB false -g 1024 -m 384 -n 384 -k 64	128,64,8,32,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 2304 -n 16384 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 2 -n 16384 -k 768	4,64,8,4,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 3072 -n 16384 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 768 -n 16384 -k 2	8,128,4,8,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 768 -n 16384 -k 3072	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 768 -n 16384 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 768 -m 64 -n 256 -k 256	32,128,4,16,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA true -transB false -g 768 -m 256 -n 256 -k 64	128,64,8,32,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 10240 -k 1280	64,64,8,16,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 1280 -k 5120	16,32,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 2 -n 20160 -k 1280	64,64,4,64,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 2 -m 64 -n 3840 -k 1280	64,64,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 12 -m 384 -n 64 -k 384	32,32,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 2304 -k 768	64,64,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 2 -k 768	4,64,8,4,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 3072 -k 768	64,64,8,16,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 768 -k 3072	32,32,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 768 -k 768	32,32,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB true -g 12 -m 384 -n 384 -k 64	64,64,4,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 768 -k 768	16,16,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 16 -m 384 -n 64 -k 384	64,32,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 1024 -k 1024	16,16,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 1024 -k 1024	64,64,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 1024 -k 4096	32,32,8,32,32,8,1,1
